"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"302","04/04/2020",4,4,2020,0,0,"Angola","AO","AGO",30809762
"303","03/04/2020",3,4,2020,0,0,"Angola","AO","AGO",30809762
"304","02/04/2020",2,4,2020,1,0,"Angola","AO","AGO",30809762
"305","01/04/2020",1,4,2020,0,0,"Angola","AO","AGO",30809762
"306","31/03/2020",31,3,2020,0,0,"Angola","AO","AGO",30809762
"307","30/03/2020",30,3,2020,3,2,"Angola","AO","AGO",30809762
"308","29/03/2020",29,3,2020,0,0,"Angola","AO","AGO",30809762
"309","28/03/2020",28,3,2020,1,0,"Angola","AO","AGO",30809762
"310","27/03/2020",27,3,2020,1,0,"Angola","AO","AGO",30809762
"311","26/03/2020",26,3,2020,0,0,"Angola","AO","AGO",30809762
"312","25/03/2020",25,3,2020,0,0,"Angola","AO","AGO",30809762
"313","24/03/2020",24,3,2020,0,0,"Angola","AO","AGO",30809762
"314","23/03/2020",23,3,2020,0,0,"Angola","AO","AGO",30809762
"315","22/03/2020",22,3,2020,2,0,"Angola","AO","AGO",30809762
"316","19/04/2020",19,4,2020,0,0,"Anguilla","AI",NA,NA
"317","18/04/2020",18,4,2020,0,0,"Anguilla","AI",NA,NA
"318","17/04/2020",17,4,2020,0,0,"Anguilla","AI",NA,NA
"319","16/04/2020",16,4,2020,0,0,"Anguilla","AI",NA,NA
"320","15/04/2020",15,4,2020,0,0,"Anguilla","AI",NA,NA
"321","14/04/2020",14,4,2020,0,0,"Anguilla","AI",NA,NA
"322","13/04/2020",13,4,2020,0,0,"Anguilla","AI",NA,NA
"323","12/04/2020",12,4,2020,0,0,"Anguilla","AI",NA,NA
"324","11/04/2020",11,4,2020,0,0,"Anguilla","AI",NA,NA
"325","10/04/2020",10,4,2020,0,0,"Anguilla","AI",NA,NA
"326","09/04/2020",9,4,2020,0,0,"Anguilla","AI",NA,NA
"327","08/04/2020",8,4,2020,0,0,"Anguilla","AI",NA,NA
"328","07/04/2020",7,4,2020,0,0,"Anguilla","AI",NA,NA
"329","06/04/2020",6,4,2020,0,0,"Anguilla","AI",NA,NA
"330","05/04/2020",5,4,2020,0,0,"Anguilla","AI",NA,NA
"331","04/04/2020",4,4,2020,0,0,"Anguilla","AI",NA,NA
"332","03/04/2020",3,4,2020,1,0,"Anguilla","AI",NA,NA
"333","02/04/2020",2,4,2020,0,0,"Anguilla","AI",NA,NA
"334","01/04/2020",1,4,2020,0,0,"Anguilla","AI",NA,NA
"335","31/03/2020",31,3,2020,0,0,"Anguilla","AI",NA,NA
"336","30/03/2020",30,3,2020,0,0,"Anguilla","AI",NA,NA
"337","29/03/2020",29,3,2020,0,0,"Anguilla","AI",NA,NA
"338","28/03/2020",28,3,2020,0,0,"Anguilla","AI",NA,NA
"339","27/03/2020",27,3,2020,2,0,"Anguilla","AI",NA,NA
"340","19/04/2020",19,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"341","18/04/2020",18,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"342","17/04/2020",17,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"343","16/04/2020",16,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"344","15/04/2020",15,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"345","14/04/2020",14,4,2020,2,0,"Antigua_and_Barbuda","AG","ATG",96286
"346","13/04/2020",13,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"347","12/04/2020",12,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"348","11/04/2020",11,4,2020,2,0,"Antigua_and_Barbuda","AG","ATG",96286
"349","10/04/2020",10,4,2020,4,2,"Antigua_and_Barbuda","AG","ATG",96286
"350","09/04/2020",9,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"351","08/04/2020",8,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"352","07/04/2020",7,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"353","06/04/2020",6,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"354","05/04/2020",5,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"355","04/04/2020",4,4,2020,6,0,"Antigua_and_Barbuda","AG","ATG",96286
